source,target,messageCount
1,101,1
1,1014,5
1,123,2
1,1271,12
1,1312,3
1,132,6
1,135,3
1,1440,2
1,146,10
1,159,2
1,161,10
1,1626,25
1,1655,2
1,1675,7
1,1779,1
1,1790,1
1,194,1
1,2,1
1,211,8
1,255,4
1,281,2
1,3,67
1,30,5
1,302,3
1,312,89
1,313,1
1,32,2
1,323,1
1,36,18
1,397,1
1,42,8
1,44,9
1,477,20
1,652,3
1,856,2
10,1258,4
10,9,1
100,101,5
100,118,1
100,243,1
1000,1003,2
1000,1026,1
1000,1034,1
1000,1035,3
1000,1040,3
1000,1041,2
1000,109,3
1000,118,1
1000,1285,3
1000,135,1
1000,140,2
1000,154,1
1000,252,2
1000,286,3
1000,296,2
1000,302,2
1000,339,2
1000,366,1
1000,410,1
1000,418,3
1000,419,1
1000,420,2
1000,480,1
1000,495,6
1000,65,1
1000,67,1
1000,686,3
1000,701,4
1000,712,2
1000,783,1
1000,8,8
1000,825,1
1000,84,2
1000,862,1
1000,992,1
1001,176,5
1001,297,5
1001,638,1
1002,101,4
1002,103,4
1002,1052,2
1002,1185,1
1002,273,4
1002,32,5
1002,334,1
1003,1000,2
1003,1199,2
1004,1008,3
1004,1012,1
1004,1032,8
1004,1056,10
1004,1072,1
1004,1103,3
1004,128,3
1004,1281,1
1004,144,4
1004,194,13
1004,212,7
1004,277,14
1004,302,3
1004,308,3
1004,394,3
1004,409,1
1004,437,2
1004,463,6
1004,596,6
1004,598,1
1004,60,2
1004,639,3
1004,687,8
1004,69,1
1004,783,16
1004,815,2
1004,831,13
1004,908,3
1004,991,3
1005,1236,3
1005,1281,1
1005,1647,2
1005,1688,1
1005,32,2
1005,372,3
1005,42,2
1005,482,3
1005,546,4
1005,878,2
1006,1199,1
1006,1236,1
1006,1260,1
1006,128,7
1006,1281,1
1006,1335,2
1006,1448,2
1006,1598,2
1006,249,1
1006,323,4
1006,598,2
1006,697,1
1006,701,1
1006,792,13
1006,841,6
1006,90,2
1006,919,1
1007,323,1
1008,1004,3
1008,1032,1
1008,131,1
1009,1346,3
1009,1585,1
1009,177,4
1009,27,16
1009,463,3
1009,537,2
1009,752,1
1009,928,1
101,1,1
101,100,5
101,1002,4
101,103,3
101,105,1
101,1113,1
101,115,1
101,118,2
101,12,13
101,124,1
101,1269,1
101,1281,1
101,1283,1
101,1381,1
101,176,22
101,184,10
101,190,18
101,193,2
101,198,11
101,199,1
101,208,3
101,211,1
101,214,3
101,243,2
101,250,1
101,271,2
101,282,6
101,32,2
101,34,7
101,370,3
101,38,5
101,400,1
101,41,2
101,423,1
101,462,1
101,482,1
101,496,1
101,51,2
101,514,3
101,515,1
101,557,1
101,68,3
101,733,2
101,770,3
101,847,3
101,88,2
101,899,1
101,9,1
101,991,1
1010,463,4
1011,317,1
1012,1004,1
1012,1107,1
1012,1185,1
1012,1476,2
1013,1253,18
1013,1291,2
1013,1312,7
1013,1346,1
1013,1365,3
1013,1489,1
1013,1696,1
1013,1701,1
1013,1889,1
1013,1894,2
1013,233,2
1013,299,1
1013,398,29
1013,465,2
1013,673,2
1013,697,1
1013,773,1
1013,85,2
1014,1,5
1014,1020,1
1014,1046,3
1014,1194,2
1014,1313,5
1014,132,5
1014,1487,2
1014,26,3
1014,277,3
1014,30,5
1014,308,1
1014,312,3
1014,323,5
1014,372,1
1014,474,1
1014,592,2
1014,638,1
1014,851,5
1015,103,1
1015,1127,1
1015,1189,3
1015,19,1
1015,32,1
1015,342,1
1015,357,1
1015,48,1
1015,652,1
1016,19,1
1016,652,1
1017,144,3
1017,520,1
1018,1173,2
1018,1217,3
1018,1227,3
1018,1236,3
1018,1281,4
1018,1283,1
1018,1335,1
1018,1359,2
1018,1399,1
1018,1402,4
1018,144,1
1018,1440,1
1018,1485,2
1018,1491,2
1018,1567,1
1018,1585,6
1018,1644,2
1018,220,10
1018,234,2
1018,252,4
1018,281,1
1018,288,2
1018,372,3
1018,41,6
1018,413,1
1018,42,2
1018,479,5
1018,502,3
1018,53,5
1018,547,5
1018,561,1
1018,697,3
1018,708,1
1018,711,2
1018,713,3
1018,725,1
1018,755,2
1018,772,1
1018,781,2
1019,1136,3
1019,1185,1
1019,1507,1
1019,306,2
1019,377,1
1019,388,6
1019,402,2
1019,439,9
1019,545,1
1019,551,1
1019,555,3
1019,588,5
1019,590,1
1019,627,1
1019,676,2
102,1069,1
102,1215,2
102,1449,2
102,245,1
102,316,9
102,323,6
102,355,14
102,439,1
102,44,2
102,50,5
102,503,1
102,62,4
102,638,3
102,644,2
102,645,3
102,679,2
102,713,5
102,758,2
102,943,2
102,97,8
102,98,6
1020,1014,1
1020,6,1
1021,1029,1
1021,103,1
1021,105,4
1021,1069,1
1021,1104,3
1021,1189,1
1021,1199,3
1021,127,1
1021,1285,14
1021,1422,6
1021,1449,5
1021,1489,1
1021,1508,5
1021,1539,6
1021,1657,2
1021,1746,1
1021,176,7
1021,1878,1
1021,1895,1
1021,191,5
1021,249,8
1021,32,2
1021,322,6
1021,368,1
1021,492,1
1021,539,1
1021,547,2
1021,646,2
1021,701,2
1021,770,5
1021,777,1
1021,810,2
1021,847,1
1021,871,1
1021,878,2
1021,939,3
1021,970,1
1021,981,3
1022,144,2
1022,523,1
1022,598,1
1022,815,2
1023,1069,1
1023,1072,1
1023,1117,9
1023,1281,1
1023,1402,3
1023,144,1
1023,1766,1
1023,277,18
1023,373,2
1023,460,3
1023,605,6
1023,697,8
1023,734,3
1023,758,3
1024,1539,1
1024,418,1
1024,642,1
1024,834,1
1025,783,4
1025,795,2
1026,1000,1
1026,1038,1
1026,1045,3
1026,1050,1
1026,1119,2
1026,1213,1
1026,1236,2
1026,1285,2
1026,1517,2
1026,163,1
1026,1661,1
1026,1686,10
1026,1713,6
1026,1716,1
1026,1717,2
1026,172,2
1026,176,5
1026,1836,1
1026,184,6
1026,19,1
1026,249,2
1026,250,1
1026,252,6
1026,308,1
1026,361,1
1026,423,2
1026,487,2
1026,509,21
1026,609,2
1026,615,21
1026,704,1
1026,871,2
1026,934,7
1026,950,7
1027,105,5
1028,1032,1
1028,260,2
1028,713,1
1029,1021,1
1029,1237,4
1029,1326,3
1029,1340,3
1029,1472,3
1029,1489,3
1029,1543,1
1029,1665,4
1029,1713,5
1029,1741,3
1029,1746,2
1029,41,13
1029,586,4
1029,778,2
1029,871,1
1029,939,1
1029,962,1
103,1002,4
103,101,3
103,1015,1
103,1021,1
103,1060,7
103,1072,6
103,1078,9
103,109,9
103,1097,3
103,1100,1
103,1118,5
103,1126,4
103,1130,1
103,114,9
103,1169,1
103,117,1
103,1181,3
103,1195,9
103,12,2
103,1215,5
103,1216,1
103,1217,3
103,1231,15
103,1236,4
103,1238,3
103,1244,1
103,1255,1
103,1256,3
103,127,1
103,128,5
103,1280,10
103,1302,9
103,1308,1
103,1312,15
103,1313,5
103,132,2
103,1329,1
103,1334,1
103,134,5
103,1342,1
103,1343,2
103,1346,1
103,135,4
103,1362,10
103,1395,1
103,1417,1
103,1419,1
103,143,8
103,1431,2
103,144,4
103,1468,2
103,1487,3
103,149,1
103,1497,1
103,151,3
103,1510,1
103,1518,3
103,154,1
103,1540,5
103,1554,14
103,1568,1
103,158,1
103,1585,2
103,1598,1
103,1603,2
103,1643,1
103,1646,2
103,166,3
103,168,9
103,173,2
103,175,9
103,177,3
103,183,2
103,185,3
103,188,1
103,190,1
103,192,1
103,20,1
103,204,1
103,210,1
103,211,2
103,215,8
103,220,5
103,221,1
103,228,3
103,233,1
103,256,2
103,260,5
103,265,1
103,266,1
103,267,2
103,270,2
103,277,10
103,282,2
103,294,2
103,299,6
103,30,8
103,306,2
103,311,4
103,314,5
103,316,3
103,318,1
103,324,14
103,343,1
103,344,1
103,345,7
103,353,1
103,358,5
103,36,2
103,360,2
103,365,7
103,371,2
103,372,6
103,375,3
103,377,3
103,378,9
103,379,1
103,386,1
103,391,2
103,392,23
103,393,4
103,396,2
103,402,5
103,405,1
103,409,5
103,417,1
103,429,1
103,437,4
103,439,1
103,44,3
103,441,1
103,445,1
103,447,4
103,452,1
103,454,2
103,456,1
103,460,2
103,462,41
103,464,5
103,465,1
103,466,1
103,475,17
103,479,1
103,480,1
103,489,1
103,495,7
103,500,1
103,502,2
103,503,10
103,504,3
103,513,1
103,52,7
103,525,46
103,527,1
103,534,1
103,538,3
103,549,1
103,553,1
103,554,1
103,556,2
